"",,"Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 29, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Oct 30, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 5, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25","Nov 6, 25"
Item,Unit,2% MILK,2% MILK-e,2% MILK-o,Bulk Boneless Chicken Thighs,Butternut Ravioli,CREAM,CREAM - e,CREAM - o,Chocolate MILK,Chocolate MILK-o,Chocolate Milk-e,Cream RL pint,Cream pint,Creamline MILK,Creamline MILK-e,Creamline MILK-o,Egg - LB,Eggs - Buttonwood,Ground Beef D&M,Ground Chicken,Ground Chicken -o,Half & Half,Half & Half Quart,Handling/Delivery fee,Home Delivery,Marinara Sauce AT,Multigrain Bread,Pickup Thursday,RL - Gallon Whole Milk,Skim MILK,Skim MILK-e,Skim MILK-o,Sweet Potato Gnocchi,Whole MILK,Whole MILK-e,Whole MILK-o,YoBul plain yogurt,Yobul plain yogurt,zDry Dock Eggs,zDry Dock Eggs-wkly,Half,FSA/FSD,FSC,UCA/KWA,Mini,Delivery to Groups,Two Week Trial of Mini Share,(BYO) FSG - Orders Only,(BYO) KWG - Orders Only,(BYO) UCG - Orders Only,"BYO - No Share, Order Only",Credit 1,Credit 2,FSA/FSD Makeup Share,FSC Makeup Share,Guest Access,Half Makeup Share,Mini Makeup Share,No Produce - Order Only (even wk),No Produce - Order Only (odd wk),"Two Week Trial - 1 Full, 1 Mini Share",Two Week Trial of Half Share,UCA/KWA Makeup Share,2% MILK,2% MILK-o,Bulk Boneless Chicken Thighs,Butternut Ravioli,CREAM,CREAM - o,Chocolate MILK,Chocolate MILK-o,Cream RL pint,Cream pint,Creamline MILK,Creamline MILK-o,Egg - LB,Eggs - Buttonwood,Ground Beef D&M,Ground Chicken,Ground Chicken -o,Half & Half,Half & Half Quart,Handling/Delivery fee,Home Delivery,Marinara Sauce AT,Multigrain Bread,RL - Gallon Whole Milk,Skim MILK,Skim MILK-o,Sweet Potato Gnocchi,Whole MILK,Whole MILK-o,YoBul plain yogurt,Yobul plain yogurt,zDry Dock Eggs,zDry Dock Eggs-wkly,Half,FSA/FSD,FSC,UCA/KWA,Mini,Delivery to Groups,Two Week Trial of Mini Share,(BYO) FSG - Orders Only,(BYO) KWG - Orders Only,(BYO) UCG - Orders Only,"BYO - No Share, Order Only",Credit 1,Credit 2,FSA/FSD Makeup Share,FSC Makeup Share,Half Makeup Share,Mini Makeup Share,No Produce - Order Only (odd wk),"Two Week Trial - 1 Full, 1 Mini Share",Two Week Trial of Half Share,UCA/KWA Makeup Share,2% MILK,2% MILK-e,Bulk Boneless Chicken Thighs,Butternut Ravioli,CREAM,CREAM - e,Chocolate MILK,Chocolate Milk-e,Cream RL pint,Cream pint,Creamline MILK,Creamline MILK-e,Egg - LB,Eggs - Buttonwood,Ground Beef D&M,Ground Chicken,Half & Half,Half & Half Quart,Handling/Delivery fee,Home Delivery,Marinara Sauce AT,Multigrain Bread,RL - Gallon Whole Milk,Skim MILK,Skim MILK-e,Sweet Potato Gnocchi,Whole MILK,Whole MILK-e,YoBul plain yogurt,Yobul plain yogurt,zDry Dock Eggs,zDry Dock Eggs-wkly,Half,FSA/FSD,FSC,UCA/KWA,Mini,Delivery to Groups,Two Week Trial of Mini Share,(BYO) FSG - Orders Only,(BYO) KWG - Orders Only,(BYO) UCG - Orders Only,"BYO - No Share, Order Only",Credit 1,Credit 2,FSA/FSD Makeup Share,FSC Makeup Share,Half Makeup Share,Mini Makeup Share,No Produce - Order Only (even wk),"Two Week Trial - 1 Full, 1 Mini Share",Two Week Trial of Half Share,UCA/KWA Makeup Share,2% MILK,2% MILK-e,Bulk Boneless Chicken Thighs,Butternut Ravioli,CREAM,CREAM - e,Chocolate MILK,Chocolate Milk-e,Cream RL pint,Cream pint,Creamline MILK,Creamline MILK-e,Egg - LB,Eggs - Buttonwood,Ground Beef D&M,Ground Chicken,Half & Half,Half & Half Quart,Handling/Delivery fee,Home Delivery,Marinara Sauce AT,Multigrain Bread,RL - Gallon Whole Milk,Skim MILK,Skim MILK-e,Sweet Potato Gnocchi,Whole MILK,Whole MILK-e,YoBul plain yogurt,Yobul plain yogurt,zDry Dock Eggs,zDry Dock Eggs-wkly,Half,FSA/FSD,FSC,UCA/KWA,Mini,Delivery to Groups,Two Week Trial of Mini Share,(BYO) FSG - Orders Only,(BYO) KWG - Orders Only,(BYO) UCG - Orders Only,"BYO - No Share, Order Only",Credit 1,Credit 2,FSA/FSD Makeup Share,FSC Makeup Share,Half Makeup Share,Mini Makeup Share,No Produce - Order Only (even wk),"Two Week Trial - 1 Full, 1 Mini Share",Two Week Trial of Half Share,UCA/KWA Makeup Share
Beef - Stew Meat,Pack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beef Kabob Meat,Lb.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheese Choice $6.50,Each,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicken - Ground,Lb.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicken - Links ($10),Each,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Condiment Choice $6,Bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Carmen Choice,Tub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eggs,Dozen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ground Beef - D&M,Lb.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
